,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,actual_label
215,2.812682111,-3.237266262,12.68579814,-16.25889779,-5.705373782,16,gazing_else_where
216,3.361289747,-3.029908708,13.40055784,-16.01786495,4.96908413,17,gazing_else_where
217,2.937846977,-3.299210532,12.44275415,-10.05552967,29.22747738,32,gazing_else_where
218,1.697645679,-1.299737091,-12.26286825,1.859028636,-19.39829814,24,gazing_else_where
219,2.052338998,-1.883444459,-10.545075,2.056427239,-7.67764337,12,gazing_else_where
220,0.166181033,-2.275306652,-10.23421857,-1.095110701,-18.65472667,23,gazing_else_where
221,1.093968846,-2.133368925,-9.480323951,1.966545629,-20.86580896,26,gazing_else_where
222,2.588774634,-2.676684612,-8.143519439,-12.88886761,9.258227534,13,gazing_else_where
223,2.878556684,-3.431756933,3.192459916,-21.63067323,-5.448795498,21,gazing_else_where
224,4.550247381,-5.385508711,17.57722971,1.549578584,34.59298893,36,gazing_else_where
225,2.269849638,-4.160800381,17.19421848,2.58854948,27.37368414,30,gazing_else_where
226,3.984157695,-4.865279781,16.57733355,5.871787706,12.79372977,19,gazing_else_where
227,5.124822134,-4.877858013,15.72178095,6.36580852,25.89812865,29,gazing_else_where
228,4.870080172,-4.543119189,15.04709443,11.30918336,15.25190215,23,gazing_else_where
229,4.598781585,-5.480040917,14.74468722,8.875663072,18.60095637,24,gazing_else_where
230,5.427912487,-5.520670107,13.59190722,10.32578429,23.86076246,29,gazing_else_where
231,4.855953463,-5.889941612,12.89660548,9.069022665,35.10326442,37,gazing_else_where
232,5.09672362,-5.862681949,12.68111844,6.191032984,23.40262672,26,gazing_else_where
233,4.96642747,-6.01307853,13.57195938,10.85204009,27.02263142,32,gazing_else_where
234,3.809195321,-5.458915887,12.93052072,9.138782967,16.8681194,23,gazing_else_where
235,4.967500446,-5.551587078,13.61927622,7.947000758,13.31039251,18,gazing_else_where
236,4.838447024,-5.412785167,13.29485178,14.08026938,13.38394492,24,gazing_else_where
237,5.048455622,-5.285540113,13.48978751,12.60609304,12.70856258,22,gazing_else_where
238,5.321519149,-5.784655065,13.37700875,10.68383606,30.11542984,33,gazing_else_where
239,4.657767471,-5.285292333,13.36398713,10.76834764,10.26315139,19,gazing_else_where
240,4.755733541,-5.289417039,13.16557237,13.1657661,13.55736841,23,gazing_else_where
241,4.854641279,-5.215473437,13.748581,9.241070122,16.25136438,23,gazing_else_where
242,5.150343455,-4.98819451,13.37483977,12.36874428,12.91855902,21,gazing_else_where
243,3.870983475,-5.548788005,13.85655883,11.60120969,6.879416485,18,gazing_else_where
244,4.786721752,-5.49942933,13.40128289,7.689054333,18.63225926,24,gazing_else_where
245,5.376839405,-5.42298305,14.01305069,9.015073272,4.50954227,15,gazing_else_where
246,4.924197144,-5.598218612,13.44396808,9.489771873,15.70169843,22,gazing_else_where
247,5.477212856,-5.339798343,13.38749542,7.053040345,21.13841086,25,gazing_else_where
248,5.652276858,-5.161212846,12.91313229,11.24105827,9.44272956,19,gazing_else_where
